@relation B.arff
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.2,4,15,2.424
0.2,4,17.5,2.4256
0.2,4,18.5,2.428
0.2,4,20,2.4296
0.2,4,22.5,2.4336
0.2,4,27.5,2.4432
0.2,4,30,2.4488
0.2,4,32.5,2.452
0.2,4,35,2.456
0.2,4,37.5,2.4576
0.2,4,40,2.464
0.2,4,45,2.4712
0.2,5,2.5,2.4232
0.2,5,3.5,2.4104
0.2,5,5,2.396
0.2,5,6,2.3968
0.2,5,7.3,2.3976
0.2,5,8,2.3952
0.2,5,10,2.3744
0.2,5,12.5,2.372
0.2,5,15,2.3768
0.2,5,17.5,2.3776
0.2,5,18.5,2.3792
0.2,5,20,2.384
0.2,5,22.5,2.392
0.2,5,27.5,2.408
0.2,5,30,2.4144
0.2,5,32.5,2.4208
0.2,5,35,2.428
0.2,5,37.5,2.4344
0.2,5,40,2.4432
0.2,5,45,2.4504
0.2,6,2.5,2.3496
0.2,6,3.5,2.3376
0.2,6,5,2.3328
0.2,6,6,2.328
0.2,6,7.3,2.312
0.2,6,8,2.3104
0.2,6,10,2.308
0.2,6,12.5,2.3096
0.2,6,15,2.312
0.2,6,17.5,2.32
0.2,6,18.5,2.3272
0.2,6,20,2.328
0.2,6,22.5,2.344
0.2,6,27.5,2.3528
0.2,6,30,2.3688
0.2,6,32.5,2.384
0.2,6,35,2.3936
0.2,6,37.5,2.408
0.2,6,40,2.4096
0.2,6,45,2.4264
0.2,7,2.5,2.256
0.2,7,3.5,2.2456
0.2,7,5,2.236
0.2,7,6,2.2328
0.2,7,7.3,2.2288
0.2,7,8,2.2288
0.2,7,10,2.2304
0.2,7,12.5,2.2368
0.2,7,15,2.2392
0.2,7,17.5,2.248
0.2,7,18.5,2.26
0.2,7,20,2.272
0.2,7,22.5,2.288
0.2,7,27.5,2.312
0.2,7,30,2.3208
0.2,7,32.5,2.3432
0.2,7,35,2.3472
0.2,7,37.5,2.3536
0.2,7,40,2.3776
0.2,7,45,2.3984
0.2,7.5,2.5,2.2016
0.2,7.5,3.5,2.1928
0.2,7.5,5,2.1856
0.2,7.5,6,2.184
0.2,7.5,7.3,2.1824
0.2,7.5,8,2.1832
0.2,7.5,10,2.1872
0.2,7.5,12.5,2.1976
0.2,7.5,15,2.2096
0.2,7.5,17.5,2.2256
0.2,7.5,18.5,2.232
0.2,7.5,20,2.248
0.2,7.5,22.5,2.2584
0.2,7.5,27.5,2.2936
0.2,7.5,30,2.304
0.2,7.5,32.5,2.32
0.2,7.5,35,2.3288
0.2,7.5,37.5,2.3472
0.2,7.5,40,2.356
0.2,7.5,45,2.3824
0.2,8,2.5,2.1432
0.2,8,3.5,2.1368
0.2,8,5,2.132
0.2,8,6,2.1328
0.2,8,7.3,2.1336
0.2,8,8,2.1352
0.2,8,10,2.1424
0.2,8,12.5,2.156
0.2,8,15,2.168
0.2,8,17.5,2.1752
0.2,8,18.5,2.1928
0.2,8,20,2.2088
0.2,8,22.5,2.232
0.2,8,27.5,2.2568
0.2,8,30,2.2808
0.2,8,32.5,2.296
0.2,8,35,2.312
0.2,8,37.5,2.3272
0.2,8,40,2.3384
0.2,8,45,2.3672
0.2,8.5,2.5,2.0808
0.2,8.5,3.5,2.0768
0.2,8.5,5,2.076
0.2,8.5,6,2.0776
0.2,8.5,7.3,2.0816
0.2,8.5,8,2.0848
0.2,8.5,10,2.0952
0.2,8.5,12.5,2.112
0.2,8.5,15,2.136
0.2,8.5,17.5,2.1528
0.2,8.5,18.5,2.1696
0.2,8.5,20,2.184
0.2,8.5,22.5,2.2016
0.2,8.5,27.5,2.232
0.2,8.5,30,2.2568
0.2,8.5,32.5,2.2824
0.2,8.5,35,2.296
0.2,8.5,37.5,2.3128
0.2,8.5,40,2.3368
0.2,8.5,45,2.3552
0.2,8.75,2.5,1.9008
0.2,8.75,3.5,1.944
0.2,8.75,5,2.0464
0.2,8.75,6,2.048
0.2,8.75,7.3,2.0544
0.2,8.75,8,2.0688
0.2,8.75,10,2.072
0.2,8.75,12.5,2.088
0.2,8.75,15,2.1416
0.2,8.75,17.5,2.168
0.2,8.75,18.5,2.1784
0.2,8.75,20,2.1944
0.2,8.75,22.5,2.232
0.2,8.75,27.5,2.256
0.2,8.75,30,2.2808
0.2,8.75,32.5,2.296
0.2,8.75,35,2.3136
0.2,8.75,37.5,2.3328
0.2,8.75,40,2.3488
0.2,8.75,45,2.3648
0.2,9,2.5,2.0456
0.2,9,3.5,2.0536
0.2,9,5,2.0608
0.2,9,6,2.076
0.2,9,7.3,2.0808
0.2,9,8,2.084
0.2,9,10,2.1008
0.2,9,12.5,2.132
0.2,9,15,2.152
0.2,9,17.5,2.1688
0.2,9,18.5,2.1856
0.2,9,20,2.2016
0.2,9,22.5,2.212
0.2,9,27.5,2.2568
0.2,9,30,2.2856
0.2,9,32.5,2.2968
0.2,9,35,2.3192
0.2,9,37.5,2.336
0.2,9,40,2.3528
0.2,9,45,2.368
0.2,10,2.5,2.0456
0.2,10,3.5,2.1304
0.2,10,5,2.0608
0.2,10,6,2.1384
0.2,10,7.3,2.0808
0.2,10,8,2.1544
0.2,10,10,2.1008
0.2,10,12.5,2.1864
0.2,10,15,2.2008
0.2,10,17.5,2.376
0.2,10,18.5,2.24
0.2,10,20,2.2536
0.2,10,22.5,2.272
0.2,10,27.5,2.312
0.2,10,30,2.3288
0.2,10,32.5,2.3376
0.2,10,35,2.352
0.2,10,37.5,2.3696
0.2,10,40,2.328
0.2,10,45,2.4024
0.3,1.5,3.75,2.3597
0.3,1.5,5.25,2.3583
0.3,1.5,7.5,2.3569
0.3,1.5,9,2.3555
0.3,1.5,10.95,2.3548
0.3,1.5,12,2.3541
0.3,1.5,15,2.3534
0.3,1.5,18.75,2.3527
0.3,1.5,22.5,2.352
0.3,1.5,26.25,2.352
0.3,1.5,27.75,2.3541
0.3,1.5,30,2.3555
0.3,1.5,33.75,2.3541
0.3,1.5,41.25,2.3534
0.3,1.5,45,2.3534
0.3,1.5,48.75,2.3541
0.3,1.5,52.5,2.3541
0.3,1.5,56.25,2.3548
0.3,1.5,60,2.3548
0.3,1.5,67.5,2.3555
0.3,3,3.75,2.3604
0.3,3,5.25,2.3555
0.3,3,7.5,2.3499
0.3,3,9,2.3471
0.3,3,10.95,2.3457
0.3,3,12,2.3429
0.3,3,15,2.3401
0.3,3,18.75,2.338
0.3,3,22.5,2.338
0.3,3,26.25,2.3373
0.3,3,27.75,2.3373
0.3,3,30,2.338
0.3,3,33.75,2.3408
0.3,3,41.25,2.3422
0.3,3,45,2.3429
0.3,3,48.75,2.3443
0.3,3,52.5,2.3457
0.3,3,56.25,2.3478
0.3,3,60,2.3485
0.3,3,67.5,2.3506
0.3,4.5,3.75,2.3506
0.3,4.5,5.25,2.3422
0.3,4.5,7.5,2.3366
0.3,4.5,9,2.3275
0.3,4.5,10.95,2.3226
0.3,4.5,12,2.3198
0.3,4.5,15,2.3149
0.3,4.5,18.75,2.3121
0.3,4.5,22.5,2.3128
0.3,4.5,26.25,2.3135
0.3,4.5,27.75,2.3142
0.3,4.5,30,2.317
0.3,4.5,33.75,2.3177
0.3,4.5,41.25,2.3233
0.3,4.5,45,2.3268
0.3,4.5,48.75,2.3296
0.3,4.5,52.5,2.331
0.3,4.5,56.25,2.3359
0.3,4.5,60,2.3387
0.3,4.5,67.5,2.3429
0.3,6,3.75,2.3254
0.3,6,5.25,2.3128
0.3,6,7.5,2.2477
0.3,6,9,2.2932
0.3,6,10.95,2.2862
0.3,6,12,2.2834
0.3,6,15,2.2771
0.3,6,18.75,2.2743
0.3,6,22.5,2.2904
0.3,6,26.25,2.317
0.3,6,27.75,2.324
0.3,6,30,2.3275
0.3,6,33.75,2.3254
0.3,6,41.25,2.2834
0.3,6,45,2.3044
0.3,6,48.75,2.317
0.3,6,52.5,2.324
0.3,6,56.25,2.3205
0.3,6,60,2.3247
0.3,6,67.5,2.3338
0.3,7.5,3.75,2.2792
0.3,7.5,5.25,2.2645
0.3,7.5,7.5,2.2491
0.3,7.5,9,2.2421
0.3,7.5,10.95,2.2344
0.3,7.5,12,2.2316
0.3,7.5,15,2.2267
0.3,7.5,18.75,2.2253
0.3,7.5,22.5,2.2274
0.3,7.5,26.25,2.2337
0.3,7.5,27.75,2.2372
0.3,7.5,30,2.2407
0.3,7.5,33.75,2.247
0.3,7.5,41.25,2.2631
0.3,7.5,45,2.2771
0.3,7.5,48.75,2.282
0.3,7.5,52.5,2.2946
0.3,7.5,56.25,2.296
0.3,7.5,60,2.3177
0.3,7.5,67.5,2.3219
0.3,9,3.75,2.2113
0.3,9,5.25,2.1966
0.3,9,7.5,2.1812
0.3,9,9,2.1742
0.3,9,10.95,2.1679
0.3,9,12,2.1658
0.3,9,15,2.163
0.3,9,18.75,2.1644
0.3,9,22.5,2.1651
0.3,9,26.25,2.1665
0.3,9,27.75,2.1679
0.3,9,30,2.184
0.3,9,33.75,2.2134
0.3,9,41.25,2.2323
0.3,9,45,2.247
0.3,9,48.75,2.261
0.3,9,52.5,2.2701
0.3,9,56.25,2.2757
0.3,9,60,2.2918
0.3,9,67.5,2.3037
0.3,10.5,3.75,2.1217
0.3,10.5,5.25,2.1077
0.3,10.5,7.5,2.0951
0.3,10.5,9,2.0902
0.3,10.5,10.95,2.086
0.3,10.5,12,2.0853
0.3,10.5,15,2.0867
0.3,10.5,18.75,2.0937
0.3,10.5,22.5,2.107
0.3,10.5,26.25,2.1266
0.3,10.5,27.75,2.1287
0.3,10.5,30,2.1371
0.3,10.5,33.75,2.191
0.3,10.5,41.25,2.1987
0.3,10.5,45,2.2106
0.3,10.5,48.75,2.2246
0.3,10.5,52.5,2.2435
0.3,10.5,56.25,2.247
0.3,10.5,60,2.2547
0.3,10.5,67.5,2.261
0.3,11.25,3.75,2.0692
0.3,11.25,5.25,2.0566
0.3,11.25,7.5,2.0461
0.3,11.25,9,2.0419
0.3,11.25,10.95,2.0405
0.3,11.25,12,2.0405
0.3,11.25,15,2.044
0.3,11.25,18.75,2.0538
0.3,11.25,22.5,2.0664
0.3,11.25,26.25,2.0825
0.3,11.25,27.75,2.0951
0.3,11.25,30,2.107
0.3,11.25,33.75,2.1287
0.3,11.25,41.25,2.1784
0.3,11.25,45,2.1938
0.3,11.25,48.75,2.2113
0.3,11.25,52.5,2.2169
0.3,11.25,56.25,2.2372
0.3,11.25,60,2.247
0.3,11.25,67.5,2.2876
0.3,12,3.75,2.0125
0.3,12,5.25,2.0013
0.3,12,7.5,1.9929
0.3,12,9,1.9908
0.3,12,10.95,1.9908
0.3,12,12,1.9922
0.3,12,15,1.9985
0.3,12,18.75,2.0027
0.3,12,22.5,2.023
0.3,12,26.25,2.0454
0.3,12,27.75,2.0615
0.3,12,30,2.072
0.3,12,33.75,2.086
0.3,12,41.25,2.149
0.3,12,45,2.177
0.3,12,48.75,2.1987
0.3,12,52.5,2.2148
0.3,12,56.25,2.247
0.3,12,60,2.2652
0.3,12,67.5,2.2799
0.3,12.75,3.75,1.9509
0.3,12.75,5.25,1.9418
0.3,12.75,7.5,1.9362
0.3,12.75,9,1.9355
0.3,12.75,10.95,1.9383
0.3,12.75,12,1.9404
0.3,12.75,15,1.9502
0.3,12.75,18.75,1.9677
0.3,12.75,22.5,2.107
0.3,12.75,26.25,2.1315
0.3,12.75,27.75,2.1637
0.3,12.75,30,2.184
0.3,12.75,33.75,2.1917
0.3,12.75,41.25,2.2085
0.3,12.75,45,2.212
0.3,12.75,48.75,2.2414
0.3,12.75,52.5,2.2617
0.3,12.75,56.25,2.2687
0.3,12.75,60,2.2792
0.3,12.75,67.5,2.3002
0.3,13.5,3.75,1.8984
0.3,13.5,5.25,1.9117
0.3,13.5,7.5,1.9271
0.3,13.5,9,1.9376
0.3,13.5,10.95,1.9516
0.3,13.5,12,1.96
0.3,13.5,15,1.981
0.3,13.5,18.75,2.0069
0.3,13.5,22.5,2.0314
0.3,13.5,26.25,2.044
0.3,13.5,27.75,2.065
0.3,13.5,30,2.072
0.3,13.5,33.75,2.114
0.3,13.5,41.25,2.142
0.3,13.5,45,2.184
0.3,13.5,48.75,2.1882
0.3,13.5,52.5,2.1931
0.3,13.5,56.25,2.1994
0.3,13.5,60,2.2491
0.3,13.5,67.5,2.2638
0.3,15,3.75,2.0076
0.3,15,5.25,1.9824
0.3,15,7.5,2.0321
0.3,15,9,2.0419
0.3,15,10.95,2.0545
0.3,15,12,2.0608
0.3,15,15,2.0797
0.3,15,18.75,2.1028
0.3,15,22.5,2.1028
0.3,15,26.25,2.1063
0.3,15,27.75,2.149
0.3,15,30,2.163
0.3,15,33.75,2.17
0.3,15,41.25,2.219
0.3,15,45,2.2337
0.3,15,48.75,2.247
0.3,15,52.5,2.2631
0.3,15,56.25,2.2715
0.3,15,60,2.2869
0.3,15,67.5,2.3072
0.4,2.2482,2,5
0.4,2.2464,2,7
0.4,2.2446,2,10
0.4,2.2434,2,12
0.4,2.2428,2,14.6
0.4,2.2425,2,16
0.4,2.2422,2,20
0.4,2.2416,2,25
0.4,2.2413,2,30
0.4,2.241,2,35
0.4,2.2413,2,37
0.4,2.2416,2,40
0.4,2.2419,2,45
0.4,2.2422,2,55
0.4,2.2428,2,60
0.4,2.24316,2,65
0.4,2.2434,2,70
0.4,2.244,2,75
0.4,2.2446,2,80
0.4,2.2446,2,90
0.4,2.2494,4,5
0.4,2.2464,4,7
0.4,2.2446,4,10
0.4,2.235,4,12
0.4,2.2332,4,14.6
0.4,2.2314,4,16
0.4,2.2284,4,20
0.4,2.2284,4,25
0.4,2.22852,4,30
0.4,2.2287,4,35
0.4,2.22882,4,37
0.4,2.229,4,40
0.4,2.2314,4,50
0.4,2.235,4,60
0.4,2.2398,4,70
0.4,2.2416,4,80
0.4,2.2422,4,90
0.4,2.2398,6,5
0.4,2.226,6,7
0.4,2.22,6,10
0.4,2.214,6,12
0.4,2.208,6,14.6
0.4,2.202,6,16
0.4,2.2044,6,20
0.4,2.2062,6,25
0.4,2.2068,6,30
0.4,2.2074,6,35
0.4,2.2086,6,37
0.4,2.2098,6,40
0.4,2.2116,6,50
0.4,2.2134,6,60
0.4,2.214,6,70
0.4,2.226,6,80
0.4,2.2404,6,90
0.4,2.2458,6,95
0.4,2.2128,8,5
0.4,2.2086,8,7
0.4,2.202,8,10
0.4,2.184,8,12
0.4,2.1726,8,14.6
0.4,2.1702,8,16
0.4,2.1684,8,20
0.4,2.172,8,25
0.4,2.1744,8,30
0.4,2.178,8,35
0.4,2.1822,8,37
0.4,2.184,8,40
0.4,2.196,8,50
0.4,2.208,8,60
0.4,2.214,8,70
0.4,2.226,8,80
0.4,2.232,8,90
0.4,2.2398,8,95
0.4,2.1654,10,5
0.4,2.16,10,7
0.4,2.148,10,10
0.4,2.124,10,12
0.4,2.1246,10,14.6
0.4,2.1222,10,16
0.4,2.1204,10,20
0.4,2.1246,10,25
0.4,2.1264,10,30
0.4,2.13,10,35
0.4,2.136,10,37
0.4,2.1528,10,40
0.4,2.166,10,50
0.4,2.196,10,60
0.4,2.208,10,70
0.4,2.214,10,80
0.4,2.226,10,90
0.4,2.2374,10,95
0.4,2.0946,12,5
0.4,2.088,12,7
0.4,2.082,12,10
0.4,2.076,12,12
0.4,2.07,12,14.6
0.4,2.064,12,16
0.4,2.0598,12,20
0.4,2.0622,12,25
0.4,2.07,12,30
0.4,2.082,12,35
0.4,2.106,12,37
0.4,2.1156,12,40
0.4,2.118,12,50
0.4,2.13,12,60
0.4,2.148,12,70
0.4,2.172,12,80
0.4,2.196,12,90
0.4,2.235,12,95
0.4,2.001,14,5
0.4,1.986,14,7
0.4,1.956,14,10
0.4,1.938,14,12
0.4,1.956,14,14.6
0.4,1.926,14,16
0.4,1.9866,14,20
0.4,1.9902,14,25
0.4,1.992,14,30
0.4,2.016,14,35
0.4,2.046,14,37
0.4,2.0742,14,40
0.4,2.136,14,50
0.4,2.1612,14,60
0.4,2.19,14,70
0.4,2.2134,14,80
0.4,2.226,14,90
0.4,2.2326,14,95
0.4,1.9452,15,5
0.4,1.9452,15,7
0.4,1.9452,15,10
0.4,1.9452,15,12
0.4,1.9452,15,14.6
0.4,1.9452,15,16
0.4,1.9452,15,20
0.4,1.9872,15,25
0.4,2.0142,15,30
0.4,2.034,15,35
0.4,2.046,15,37
0.4,2.0514,15,40
0.4,2.112,15,50
0.4,2.151,15,60
0.4,2.154,15,70
0.4,2.172,15,80
0.4,2.214,15,90
0.4,2.2314,15,95
0.4,1.8834,16,5
0.4,1.884,16,7
0.4,1.887,16,10
0.4,1.8912,16,12
0.4,1.8936,16,14.6
0.4,1.8954,16,16
0.4,1.9008,16,20
0.4,1.9026,16,25
0.4,1.92,16,30
0.4,1.956,16,35
0.4,1.992,16,37
0.4,2.028,16,40
0.4,0,16,50
0.4,2.1408,16,60
0.4,2.166,16,70
0.4,2.2062,16,80
0.4,2.214,16,90
0.4,2.2302,16,95
0.4,1.8162,17,5
0.4,1.8198,17,7
0.4,1.8246,17,10
0.4,1.8324,17,12
0.4,1.839,17,14.6
0.4,1.8456,17,16
0.4,1.8534,17,20
0.4,1.884,17,25
0.4,1.932,17,30
0.4,1.968,17,35
0.4,1.9944,17,37
0.4,2.0034,17,40
0.4,2.07,17,50
0.4,2.1306,17,60
0.4,2.166,17,70
0.4,2.2026,17,80
0.4,2.208,17,90
0.4,2.2314,17,95
0.4,1.7808,17.5,5
0.4,1.782,17.5,7
0.4,1.788,17.5,10
0.4,1.794,17.5,12
0.4,1.8198,17.5,14.6
0.4,1.8324,17.5,16
0.4,1.8498,17.5,20
0.4,1.854,17.5,25
0.4,1.872,17.5,30
0.4,1.908,17.5,35
0.4,1.974,17.5,37
0.4,1.9908,17.5,40
0.4,2.07,17.5,50
0.4,2.1252,17.5,60
0.4,2.142,17.5,70
0.4,2.166,17.5,80
0.4,2.214,17.5,90
0.4,2.2386,17.5,95
0.4,1.782,18,5
0.4,1.794,18,7
0.4,1.854,18,10
0.4,1.872,18,12
0.4,1.878,18,14.6
0.4,1.8822,18,16
0.4,1.8852,18,20
0.4,1.902,18,25
0.4,1.914,18,30
0.4,1.926,18,35
0.4,1.956,18,37
0.4,1.986,18,40
0.4,2.07,18,50
0.4,2.1198,18,60
0.4,2.154,18,70
0.4,2.199,18,80
0.4,2.214,18,90
0.4,2.2272,18,95
0.4,1.9482,20,5
0.4,1.9536,20,7
0.4,1.9656,20,10
0.4,1.974,20,12
0.4,2.004,20,14.6
0.4,2.022,20,16
0.4,2.0358,20,20
0.4,2.046,20,25
0.4,2.0736,20,30
0.4,2.106,20,35
0.4,2.1108,20,37
0.4,2.1144,20,40
0.4,2.166,20,50
0.4,2.1828,20,60
0.4,2.226,20,70
0.4,2.256,20,80
0.4,2.292,20,90
0.4,2.334,20,95
0.5,2.5,6.25,2.1745
0.5,2.5,8.75,2.1725
0.5,2.5,12.5,2.1705
0.5,2.5,15,2.1695
0.5,2.5,18.25,2.169
0.5,2.5,20,2.1685
0.5,2.5,25,2.168
0.5,2.5,31.25,2.168
0.5,2.5,37.5,2.168
0.5,2.5,43.75,2.168
0.5,2.5,46.25,2.1685
0.5,2.5,50,2.1685
0.5,2.5,56.25,2.169
0.5,2.5,68.75,2.1695
0.5,2.5,75,2.1705
0.5,2.5,81.25,2.1705
0.5,2.5,87.5,2.171
0.5,2.5,93.75,2.171
0.5,2.5,100,2.1715
0.5,2.5,112.5,2.1715
0.5,5,6.25,2.175
0.5,5,8.75,2.169
0.5,5,12.5,2.1635
0.5,5,15,2.161
0.5,5,18.25,2.159
0.5,5,20,2.1585
0.5,5,25,2.157
0.5,5,31.25,2.1565
0.5,5,37.5,2.1575
0.5,5,43.75,2.1585
0.5,5,46.25,2.159
0.5,5,50,2.1605
0.5,5,62.5,2.164
0.5,5,75,2.166
0.5,5,87.5,2.169
0.5,5,100,2.1715
0.5,5,112.5,2.1715
0.5,7.5,6.25,2.164
0.5,7.5,8.75,2.1545
0.5,7.5,12.5,2.146
0.5,7.5,15,2.1425
0.5,7.5,18.25,2.1395
0.5,7.5,20,2.1385
0.5,7.5,25,2.137
0.5,7.5,31.25,2.1375
0.5,7.5,37.5,2.14
0.5,7.5,43.75,2.1435
0.5,7.5,46.25,2.145
0.5,7.5,50,2.1425
0.5,7.5,62.5,2.1555
0.5,7.5,75,2.1605
0.5,7.5,87.5,2.167
0.5,7.5,100,2.1695
0.5,7.5,112.5,2.171
0.5,7.5,118.75,2.1715
0.5,10,6.25,2.137
0.5,10,8.75,2.125
0.5,10,12.5,2.115
0.5,10,15,2.111
0.5,10,18.25,2.1085
0.5,10,20,2.1075
0.5,10,25,2.105
0.5,10,31.25,2.1105
0.5,10,37.5,2.116
0.5,10,43.75,2.1235
0.5,10,46.25,2.1265
0.5,10,50,2.136
0.5,10,62.5,2.1455
0.5,10,75,2.1565
0.5,10,87.5,2.164
0.5,10,100,2.168
0.5,10,112.5,2.1705
0.5,10,118.75,2.1715
0.5,12.5,6.25,2.0895
0.5,12.5,8.75,2.0775
0.5,12.5,12.5,2.0685
0.5,12.5,15,2.0655
0.5,12.5,18.25,2.0645
0.5,12.5,20,2.0645
0.5,12.5,25,2.068
0.5,12.5,31.25,2.076
0.5,12.5,37.5,2.086
0.5,12.5,43.75,2.099
0.5,12.5,46.25,2.1035
0.5,12.5,50,2.108
0.5,12.5,62.5,2.1335
0.5,12.5,75,2.1455
0.5,12.5,87.5,2.161
0.5,12.5,100,2.17
0.5,12.5,112.5,2.1705
0.5,12.5,118.75,2.1715
0.5,15,6.25,2.02
0.5,15,8.75,2.01
0.5,15,12.5,2.0045
0.5,15,15,2.0045
0.5,15,18.25,2.007
0.5,15,20,2.0095
0.5,15,25,2.0185
0.5,15,31.25,2.034
0.5,15,37.5,2.063
0.5,15,43.75,2.071
0.5,15,46.25,2.077
0.5,15,50,2.0835
0.5,15,62.5,2.1205
0.5,15,75,2.1435
0.5,15,87.5,2.165
0.5,15,100,2.166
0.5,15,112.5,2.17
0.5,15,118.75,2.1715
0.5,17.5,6.25,1.927
0.5,17.5,8.75,1.921
0.5,17.5,12.5,1.9225
0.5,17.5,15,1.927
0.5,17.5,18.25,1.9355
0.5,17.5,20,1.9405
0.5,17.5,25,1.9585
0.5,17.5,31.25,1.9845
0.5,17.5,37.5,2.012
0.5,17.5,43.75,2.039
0.5,17.5,46.25,2.055
0.5,17.5,50,2.07
0.5,17.5,62.5,2.1065
0.5,17.5,75,2.13
0.5,17.5,87.5,2.1545
0.5,17.5,100,2.1605
0.5,17.5,112.5,2.17
0.5,17.5,118.75,2.1715
0.5,18.75,6.25,1.8705
0.5,18.75,8.75,1.868
0.5,18.75,12.5,1.874
0.5,18.75,15,1.8815
0.5,18.75,18.25,1.8935
0.5,18.75,20,1.901
0.5,18.75,25,1.9245
0.5,18.75,31.25,1.957
0.5,18.75,37.5,2.001
0.5,18.75,43.75,2.022
0.5,18.75,46.25,2.065
0.5,18.75,50,2.0605
0.5,18.75,62.5,2.1205
0.5,18.75,75,2.1325
0.5,18.75,87.5,2.1355
0.5,18.75,100,2.138
0.5,18.75,112.5,2.1525
0.5,18.75,118.75,2.1715
0.5,20,6.25,1.808
0.5,20,8.75,1.809
0.5,20,12.5,1.82
0.5,20,15,1.831
0.5,20,18.25,1.848
0.5,20,20,1.8575
0.5,20,25,1.8875
0.5,20,31.25,1.9275
0.5,20,37.5,1.9665
0.5,20,43.75,2.0035
0.5,20,46.25,2.0175
0.5,20,50,1.956
0.5,20,62.5,2.108
0.5,20,75,2.1285
0.5,20,87.5,2.1555
0.5,20,100,2.163
0.5,20,112.5,2.242
0.5,20,118.75,2.3765
0.5,21.25,6.25,1.738
0.5,21.25,8.75,1.7435
0.5,21.25,12.5,1.761
0.5,21.25,15,1.7755
0.5,21.25,18.25,1.7975
0.5,21.25,20,1.81
0.5,21.25,25,1.8475
0.5,21.25,31.25,1.8705
0.5,21.25,37.5,1.942
0.5,21.25,43.75,1.985
0.5,21.25,46.25,2.0005
0.5,21.25,50,1.938
0.5,21.25,62.5,2.063
0.5,21.25,75,2.124
0.5,21.25,87.5,2.155
0.5,21.25,100,2.1625
0.5,21.25,112.5,2.397
0.5,21.25,118.75,2.561
0.5,21.875,6.25,1.7005
0.5,21.875,8.75,1.7205
0.5,21.875,12.5,1.731
0.5,21.875,15,1.746
0.5,21.875,18.25,1.7855
0.5,21.875,20,1.795
0.5,21.875,25,1.8265
0.5,21.875,31.25,1.881
0.5,21.875,37.5,1.929
0.5,21.875,43.75,1.975
0.5,21.875,46.25,2.001
0.5,21.875,50,2.0155
0.5,21.875,62.5,2.0975
0.5,21.875,75,2.1225
0.5,21.875,87.5,2.1475
0.5,21.875,100,2.21
0.5,21.875,112.5,2.4855
0.5,21.875,118.75,2.6635
0.5,22.5,6.25,1.699
0.5,22.5,8.75,1.717
0.5,22.5,12.5,1.7415
0.5,22.5,15,1.756
0.5,22.5,18.25,1.773
0.5,22.5,20,1.7825
0.5,22.5,25,1.807
0.5,22.5,31.25,1.862
0.5,22.5,37.5,1.906
0.5,22.5,43.75,1.965
0.5,22.5,46.25,1.983
0.5,22.5,50,1.938
0.5,22.5,62.5,2.0755
0.5,22.5,75,2.1385
0.5,22.5,87.5,2.1465
0.5,22.5,100,2.2775
0.5,22.5,112.5,2.5835
0.5,22.5,118.75,2.773
0.5,25,6.25,1.9455
0.5,25,8.75,1.9605
0.5,25,12.5,1.979
0.5,25,15,1.989
0.5,25,18.25,2.001
0.5,25,20,2.0065
0.5,25,25,2.0215
0.5,25,31.25,2.0395
0.5,25,37.5,2.068
0.5,25,43.75,2.0765
0.5,25,46.25,2.084
0.5,25,50,2.068
